Ethnicity,Count,Accuracy,Precision,Recall,F1
Asian,390.0,0.8743589743589744,0.9042553191489362,0.845771144278607,0.8740359897172236
Black,147.0,0.7755102040816326,0.6027397260273972,0.9166666666666666,0.7272727272727273
Mixed,93.0,0.8602150537634409,0.7857142857142857,0.8918918918918919,0.8354430379746836
Other,83.0,0.8313253012048193,0.8,0.8,0.8
White,2887.0,0.8413578108763422,0.7921875,0.8407960199004975,0.8157683024939663
