Age_Group,Count,Accuracy,Precision,Recall,F1
<20,157.0,0.7388535031847133,0.41379310344827586,0.7741935483870968,0.5393258426966292
20-29,722.0,0.8268698060941828,0.7689655172413793,0.7935943060498221,0.7810858143607706
30-39,835.0,0.8634730538922155,0.8653846153846154,0.861244019138756,0.8633093525179856
40-49,776.0,0.8775773195876289,0.8768844221105527,0.8835443037974684,0.880201765447667
50-59,744.0,0.8360215053763441,0.7583081570996979,0.856655290102389,0.8044871794871795
60+,366.0,0.8087431693989071,0.656,0.7522935779816514,0.7008547008547008
