timestamp,stage,candidate_index,Gender,Experience,Test_Score,Interview_Score,decision
1743631804.5967422,Stage 1,1,Male,6,50,7,Accept & Trust
1743631831.32059,Stage 1,2,Female,6,50,7,Reject & Distrust
1743631847.7533107,Stage 1,3,Male,8,90,9,Accept & Trust
1743631862.3939254,Stage 1,4,Female,8,90,9,Accept & Trust
1743631864.9151723,Stage 1,4,Female,8,90,9,Accept & Trust
1743631895.7478797,Stage 2,1,Male,6,50,7,Reject & Distrust
1743631910.7888193,Stage 2,2,Female,6,50,7,Reject & Distrust
1743631935.988784,Stage 2,3,Male,8,90,9,Accept & Trust
1743631966.3934808,Stage 2,4,Female,8,90,9,Reject & Distrust
1743631989.320933,Stage 3,1,Male,6,50,7,Reject & Distrust
1743632002.2744222,Stage 3,2,Female,6,50,7,Reject & Distrust
1743632008.4434786,Stage 3,3,Male,8,90,9,Accept & Trust
1743632019.580677,Stage 3,4,Female,8,90,9,Accept & Trust
1743632043.4411104,Stage 4,1,Male,6,50,7,Accept & Trust
1743632072.2229354,Stage 4,2,Female,6,50,7,Accept & Trust
1743632085.8179686,Stage 4,3,Male,8,90,9,Accept & Trust
1743632097.437816,Stage 4,4,Female,8,90,9,Accept & Trust
