timestamp,stage,candidate_index,Gender,Experience,Test_Score,Interview_Score,decision
1743438126.822868,Stage 1,1,Male,6,50,7,Reject & Distrust
1743438155.9982915,Stage 1,2,Female,6,50,7,Accept & Trust
1743438168.0802107,Stage 1,3,Male,8,90,9,Accept & Trust
1743438177.0801806,Stage 1,4,Female,8,90,9,Accept & Trust
1743438214.808165,Stage 2,1,Male,6,50,7,Reject & Distrust
1743438236.6862383,Stage 2,2,Female,6,50,7,Accept & Trust
1743438248.1764538,Stage 2,3,Male,8,90,9,Accept & Trust
1743438273.906468,Stage 2,4,Female,8,90,9,Accept & Trust
1743438284.151141,Stage 2,4,Female,8,90,9,Accept & Trust
1743438303.6882024,Stage 3,1,Male,6,50,7,Accept & Trust
1743438311.6428745,Stage 3,2,Female,6,50,7,Accept & Trust
1743438324.648347,Stage 3,3,Male,8,90,9,Accept & Trust
1743438350.457293,Stage 3,4,Female,8,90,9,Reject & Distrust
1743438366.962486,Stage 4,1,Male,6,50,7,Accept & Trust
1743438384.762012,Stage 4,2,Female,6,50,7,Reject & Distrust
1743438397.497235,Stage 4,3,Male,8,90,9,Accept & Trust
1743438409.5994506,Stage 4,4,Female,8,90,9,Reject & Distrust
