timestamp,stage,candidate_index,Gender,Experience,Test_Score,Interview_Score,decision
1743434671.9662318,Stage 1,1,Male,6,50,7,Reject & Distrust
1743434686.8000925,Stage 1,2,Female,6,50,7,Accept & Trust
1743434701.7686815,Stage 1,3,Male,8,90,9,Accept & Trust
1743434719.7034898,Stage 1,4,Female,8,90,9,Accept & Trust
1743434729.0808704,Stage 1,4,Female,8,90,9,Accept & Trust
1743434730.1710587,Stage 1,4,Female,8,90,9,Reject & Distrust
1743434737.3327467,Stage 1,4,Female,8,90,9,Accept & Trust
1743434754.6809995,Stage 2,1,Male,6,50,7,Reject & Distrust
1743434775.1201122,Stage 2,2,Female,6,50,7,Accept & Trust
1743434785.3629484,Stage 2,3,Male,8,90,9,Accept & Trust
1743434809.5082743,Stage 2,4,Female,8,90,9,Accept & Trust
1743434821.485209,Stage 3,1,Male,6,50,7,Accept & Trust
1743434827.431903,Stage 3,2,Female,6,50,7,Accept & Trust
1743434840.434893,Stage 3,3,Male,8,90,9,Accept & Trust
1743434852.927614,Stage 3,4,Female,8,90,9,Accept & Trust
1743434865.812676,Stage 4,1,Male,6,50,7,Accept & Trust
1743434877.0494668,Stage 4,2,Female,6,50,7,Accept & Trust
1743434886.668712,Stage 4,3,Male,8,90,9,Accept & Trust
1743434893.8117466,Stage 4,4,Female,8,90,9,Accept & Trust
