timestamp,stage,candidate_index,Gender,Experience,Test_Score,Interview_Score,decision
1743444928.9976864,Stage 1,1,Male,6,50,7,Reject & Distrust
1743444951.564471,Stage 1,2,Female,6,50,7,Reject & Distrust
1743444962.4627392,Stage 1,3,Male,8,90,9,Accept & Trust
1743444987.575897,Stage 1,4,Female,8,90,9,Accept & Trust
1743445044.9199483,Stage 1,1,Male,6,50,7,Accept & Trust
1743445055.2383785,Stage 1,2,Female,6,50,7,Reject & Distrust
1743445062.482471,Stage 1,3,Male,8,90,9,Accept & Trust
1743445076.8784122,Stage 1,4,Female,8,90,9,Accept & Trust
1743445113.6982687,Stage 2,1,Male,6,50,7,Reject & Distrust
1743445129.6222308,Stage 2,2,Female,6,50,7,Reject & Distrust
1743445147.8395681,Stage 2,3,Male,8,90,9,Accept & Trust
1743445178.4414062,Stage 2,4,Female,8,90,9,Accept & Trust
1743445199.315222,Stage 3,1,Male,6,50,7,Reject & Distrust
1743445213.2453175,Stage 3,2,Female,6,50,7,Reject & Distrust
1743445225.7469296,Stage 3,3,Male,8,90,9,Accept & Trust
1743445235.7192018,Stage 3,4,Female,8,90,9,Accept & Trust
1743445261.2958999,Stage 4,1,Male,6,50,7,Reject & Distrust
1743445274.5363789,Stage 4,2,Female,6,50,7,Reject & Distrust
1743445287.4527807,Stage 4,3,Male,8,90,9,Accept & Trust
1743445299.8810852,Stage 4,4,Female,8,90,9,Accept & Trust
