timestamp,stage,candidate_index,Gender,Experience,Test_Score,Interview_Score,decision
1743443043.497994,Stage 1,1,Male,6,50,7,Reject & Distrust
1743443063.157446,Stage 1,2,Female,6,50,7,Accept & Trust
1743443075.7222729,Stage 1,3,Male,8,90,9,Accept & Trust
1743443087.1212049,Stage 1,4,Female,8,90,9,Accept & Trust
1743443098.6880102,Stage 1,4,Female,8,90,9,Accept & Trust
1743443159.575827,Stage 2,1,Male,6,50,7,Reject & Distrust
1743443181.4864252,Stage 2,2,Female,6,50,7,Accept & Trust
1743443194.1965582,Stage 2,3,Male,8,90,9,Accept & Trust
1743443205.68607,Stage 2,4,Female,8,90,9,Accept & Trust
1743443225.7953773,Stage 3,1,Male,6,50,7,Accept & Trust
1743443239.3955889,Stage 3,2,Female,6,50,7,Accept & Trust
1743443249.7219827,Stage 3,3,Male,8,90,9,Accept & Trust
1743443260.5625544,Stage 3,4,Female,8,90,9,Accept & Trust
1743443279.8823652,Stage 4,1,Male,6,50,7,Accept & Trust
1743443292.2504256,Stage 4,2,Female,6,50,7,Accept & Trust
1743443304.0909114,Stage 4,3,Male,8,90,9,Accept & Trust
1743443314.6977768,Stage 4,4,Female,8,90,9,Accept & Trust
