Ethnicity_Group,Occupation,Population_Estimate,Percentage_within_Ethnicity,Percentage_within_Occupation
Black/Black Welsh/Black British/Caribbean/African: Caribbean,"2133 IT business analysts, architects and systems designers",1015.0,0.3,0.9
Black/Black Welsh/Black British/Caribbean/African: Caribbean,2134 Programmers and software development professionals,1780.0,0.6,0.7
Black/Black Welsh/Black British/Caribbean/African: Caribbean,2135 Cyber security professionals,215.0,0.1,1
Black/Black Welsh/Black British/Caribbean/African: Caribbean,2136 IT quality and testing professionals,140.0,0,0.8
Black/Black Welsh/Black British/Caribbean/African: Caribbean,2137 IT network professionals,270.0,0.1,1.6
Black/Black Welsh/Black British/Caribbean/African: Caribbean,2139 Information technology professionals n.e.c.,810.0,0.3,1
Black/Black Welsh/Black British/Caribbean/African: Other Black,1137 Information technology directors,190.0,0.2,0.2
Black/Black Welsh/Black British/Caribbean/African: Other Black,2131 IT project managers,110.0,0.1,0.3
Black/Black Welsh/Black British/Caribbean/African: Other Black,2132 IT managers,305.0,0.3,0.2
Black/Black Welsh/Black British/Caribbean/African: Other Black,"2133 IT business analysts, architects and systems designers",325.0,0.4,0.3
Black/Black Welsh/Black British/Caribbean/African: Other Black,2134 Programmers and software development professionals,595.0,0.7,0.2
Black/Black Welsh/Black British/Caribbean/African: Other Black,2135 Cyber security professionals,80.0,0.1,0.4
Black/Black Welsh/Black British/Caribbean/African: Other Black,2136 IT quality and testing professionals,60.0,0.1,0.3
Black/Black Welsh/Black British/Caribbean/African: Other Black,2137 IT network professionals,80.0,0.1,0.5
Black/Black Welsh/Black British/Caribbean/African: Other Black,2139 Information technology professionals n.e.c.,285.0,0.3,0.4
Mixed/multiple ethnic group: White and Asian,1137 Information technology directors,740.0,0.5,0.7
Mixed/multiple ethnic group: White and Asian,2131 IT project managers,285.0,0.2,0.8
Mixed/multiple ethnic group: White and Asian,2132 IT managers,995.0,0.6,0.7
Mixed/multiple ethnic group: White and Asian,"2133 IT business analysts, architects and systems designers",760.0,0.5,0.7
