timestamp,data_0,data_1,data_2,data_3,data_4
1743445883.4364765,828.4249267578125,800.2197875976562,788.5347900390625,811.5018310546875,614.06591796875
1743445883.445462,816.3369750976562,790.952392578125,786.5201416015625,809.89013671875,709.96337890625
1743445883.4484625,805.8607788085938,791.3552856445312,786.5201416015625,807.069580078125,821.5750732421875
1743445883.452478,795.3846435546875,785.7142944335938,785.7142944335938,799.4139404296875,853.003662109375
1743445883.4584618,798.6080322265625,796.1904907226562,782.087890625,804.6520385742188,763.1502075195312
1743445883.468467,821.97802734375,802.6373901367188,783.6996459960938,803.4432373046875,681.7582397460938
1743445883.6204689,823.5897216796875,794.1758422851562,784.1025390625,803.4432373046875,821.1721801757812
1743445883.6224716,812.3076782226562,792.5640869140625,783.2966918945312,830.03662109375,1108.864501953125

1743445883.6305647,802.2344360351562,792.5640869140625,782.4908447265625,823.5897216796875,780.0732421875

1743445883.624195,802.2344360351562,800.6226806640625,782.4908447265625,807.4725341796875,661.2088012695312
1743445883.6310928,818.3516235351562,792.5640869140625,779.6703491210938,818.3516235351562,852.1978149414062
1743445883.6406093,810.6959838867188,793.3699340820312,784.908447265625,800.2197875976562,760.3296508789062
1743445883.643602,809.89013671875,794.1758422851562,779.6703491210938,803.8461303710938,790.952392578125
1743445883.6376107,821.97802734375,793.3699340820312,784.1025390625,819.1575317382812,846.1538696289062
1743445883.653987,813.91943359375,794.981689453125,770.0,805.054931640625,1140.2930908203125
1743445883.6456072,815.5311279296875,792.967041015625,779.2673950195312,815.5311279296875,991.6116943359375
1743445883.6669867,819.5604248046875,796.5933837890625,774.029296875,801.8314819335938,818.7545776367188
1743445883.6699884,830.8424682617188,795.7875366210938,788.1318969726562,807.069580078125,665.6410522460938
1743445883.6759946,808.6813354492188,796.5933837890625,783.2966918945312,819.1575317382812,727.2893676757812
1743445883.6830099,786.1171875,790.952392578125,780.879150390625,822.7838745117188,720.03662109375
1743445883.7139866,797.8021850585938,790.5494384765625,778.4615478515625,805.8607788085938,667.6557006835938
1743445883.7189848,819.1575317382812,795.3846435546875,778.05859375,796.1904907226562,639.047607421875
1743445883.7249906,820.7692260742188,793.7728881835938,782.4908447265625,800.2197875976562,701.5018310546875
1743445883.7319953,817.5457763671875,795.7875366210938,787.3259887695312,806.2637329101562,740.5860595703125
